0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
I got the chicken burrito which began with a huge,Then I went to get a burrito for someone else ,Got a burrito bowl with no tortilla,with chips and tortilla included in the price of the burrito , scoop of WHITE rice ,I should have stopped them at the rice,AND a salsa bar ,Had to pay for chips (what, Moe's is even better although their meat is dry and chips are stale,You get of choice of sour cream OR cheese (what ,and saw that corn was a filling option,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Even the burritos here seem smaller then any other,Seriously like 3/4 a scoop of rice,They were out of steak the other,Instead of letting the people behind me that ordered nothing with steak proceed down the line,So for amount 5 minutes the line did not move and ended up to the door just because they couldn't figure out to let people not ordering steak to proceed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Today will be the second time this month that they have to remake my food ,Just because I'm not waiting in line like others doesn't mean you can skimp on food,My boyfriend's burrito had no meat ,when I paid for a chicken burrito ,and my bowl was missing things I asked for,especially since I ordered double steak ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I ordered a chicken burrito ,I love Chipotle but this location seems to burn the veggies and meat consistently,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chipotle is some good food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
They literally saved my life - I ordered 50 burritos to go ,Job well done - best chipotle team I've ever seen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staff is very friendly and takes extra good care of your burrito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
okay chipotle almost had me this time everything tasted AMAZING,but the girl put a half scoop of rice in my bowl,the rest of the topping were perfect but the rice,Then the guac had two shell peels in it :/ but the toppings all tasted so amazing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
It's usually not crowded (unless you go around noon) and the food is almost always delicious,My only complaint is about guacamole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This chipotle always works fast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My husband ordered are food through the mobile,He ordered myself a bowl and a burrito for him,they had a bowl for him,chips ,no chips or drinks,There is so much cheese on mine its not edible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
and my carnitas burrito just tastes better than I expected,Friday lunch crew - your burrito game is on point,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the food is so tasty,The bf and I share bowls and there's always more than enough food for us both,The ingredients are fresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 A woman in front of me wanted fajita veggies on her burrito which, And the chips are always stale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I love me so burritos from this place,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Well the food was good, but the judgmental queens taking cash and passing out the guacamole and chips need to be talked to about how to treat customers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the food is decent, When we went to pick up the food, Though on the pricier side (versus Anna's and other burrito joints),some of the employees at this Chipotle need to get a crash course in burrito wrapping,but I always opt for the burrito bowl - so no complaints here, The manager gave us a few free burrito coupons to thank us for waiting,but we weren't gonna pass up free burritos,75 for guac on your burrito is silly,A mockery to the burrito,how much guac are you giving me in my burrito,How can you have a burrito with no guac, (Though one co-worker gripes that the tomato salsa is too onion-y,I find the ingredients to always be fresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I'd say I'm disappointed every time I come into this chipotle even if ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This is a great chipotle,fresh tasting ingredients ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the food stations are a complete,For example: today I ordered a bowl with guac,but instead of guac I got cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I think the food is delicious,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
but good for a quick food grab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The b team came in that night and ruined my burrito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I eat at chipotle on a weekly,lettuce  and white rice,no guacamole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I have gone to this place multiple times and every time the portions of the food seem to be getting smaller,But lately I find myself not wanting go to this place due to the quantity of food received,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
You get a lot of food for the price,The to go containers are nice foil containers that kept the food warm for the 5-10,My only real complaint about the food is that you can't get rice without cilantro,On this visit I ordered a carnitas burrito bowl with soft, taco shells on the side,but I'd love to be able to get cilantro-free rice,Usually I can get past it with all the other great flavors in the bowl,I have ordered chips ,but I don't like that chips are extra,Maybe I just don't understand the work that goes into making the chips,and guacamole in the past,although I understand charging for the guacamole,There is a portion of the human population that has a genetic distaste for cilantro,It tastes like soap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I ordered on my chipotle app ,and they forgot the chicken which I paid for,a different cashier hit me in the face with a bag of chips,They did make it right by hooking it up with a free salad on my next,I keep going back because I love the salads they serve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Further the steak that was served in my rice bowl was in large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the food isn't even that fresh,and they're always out of ingredients,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chipotle is a pretty good place to try Mexican food,and the taste is different from the food I usually have,I ordered a bowl with rice,but really delicious,but the beef is easy chewing and the black beens have good aftertastes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I go to this location 1-2 times a week and sometimes the burrito wrapping is sub,Overall a above average chipotle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I got a steak burrito ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The food is always good,This is my normal chipotle location ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09-since I don't eat rotten food,I asked for avocado with the usual rice chicken etc meal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Between that and the parent company's questionable food safety history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
""" I just love how quick and delicious their food is",A tiny bit pricey ,but it's super delicious,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
They have a 95 food service  grade which is a plus,and they have done  away completely with GMO foods which is one of the main,The food is so good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Besides the great service the food is also very well as the other,My story starts Sunday night I went to this location walking home from work(market basket) I was in a hurry to get home but couldn't resist a nice burrito,So I go order my burrito ,He decides to give me my burrito completely for free, employees burrito wrapping skills ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I went to this chipotle recently to get myself ,and my girlfriend each a bowl,I was excited to see the guy hook up the person in front of me with two huge scoops of chicken and I was so surprised I thought for once I was gonna have a fat bowl,when he got to ours he gave us each a small scoop of chicken ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 The food is great,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Same food ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chipotle is definitely worth it's money as you get more than enough food in your bowl, I will take a chance at another location since the food is decent, It was only Wednesday and they didn't have the Fajita vegetable to go in the veggie bowl,especially because I don't eat meat I look forward to having a lot of vegetables in my dishes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
They do get a little caught up in food prep sometimes ,and neglect the line but I guess you would be waiting for food prep if everyone was on the line helping,The food was great,I'm so glad to have a chipotle in my hood,I get bad grissle chicken once in a while at all of the locations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Both were bowls and we added 1 order of hard and soft taco shells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Did I try some of the guac and chicken bowl leftovers of my friend's ,Guac was surprisingly decent  ( only reason this place gets a 3rd star )  and the bowl was edible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The food has been very consistent,I keep craving these burritos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sixteen bucks for food that's not only unappealing to look at - ,I stopped in Sunday evening to pick up 2 burritos,I ordered a carnitas bowl and a chicken burrito,So I'm standing there watching them prep other burritos,I watch a girl scoop out what amounts to water with a few beans on someone's burrito,then drags my burrito across the prep counter - which is smeared with old,My burrito is done,and decide I will simply make my own bowl out of my chicken burrito,First guy in line starts the bowl,) then the bowl sits there while other,A girl finishes the bowl,sees there is no chicken - puts my tortilla on foil back where the guy is about to cut the chicken,It sits there while he sharpens the knife (directly over the pile of cooked chicken - nice,Then the chicken is finally cut,the chicken might at least be WARM,There are little to no beans left, guacamole,lettuce,pulls a bunch of lettuce up off the counter into my foil,Sounds really delicious doesn't it,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
so unless they start giving food away I don't think this will be a problem,she also makes a mean burrito,I did have some trouble understanding the person who built my burrito the last,the burrito is the main,a burrito bowl (the entire,burrito filling served in a bowl with no tortilla),For vegetarians they do also offer a veggie burrito with guacamole,25 for a chicken burrito is moderate,I've had about 4-5 burritos there now,Nothing comes with the burritos,you don't technically need them with a burrito,if they added a combo where you could get a burrito,They have other options such as tacos,You can choose your own filling including rice,My only major complaint is the value/price,beans (black,salsa,Their mild salsa is a pico de gallo (salsa,I did try the hot salsa,so if you want chips & salsa,so if you want chips & ,chips,and Barbacoa meat filling,cheese,and sour cream,salads,but it was a little too hot for my tastes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 They roll a mean burrito, Their guac is very good and should not be missed with a bag of fresh chips for ~3$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
If it's not seasoned the burrito tastes so plain,it's hit or miss if they seasoned the chicken fajita, meat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I ate one bit of my food ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I'm sure the food would have been good,so we literally turned down a quality free,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I might not notice the taste inside a burrito,I'm going to comment on the brown rice ,Brown rice has absolutely no flavor,and black beans that I usually get with my kids quesadilla,Ditto for the black beans,The chips here are super,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The food is pretty good,I like the tacos ,but I don't want to pay extra for chips and salsa,Moe's chips included,Tijuana Flats chips included,.delicious queso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The lady serving the food at chipotle had a bad,atti and made me repeat the Oder several times then she backs annoyed with me very unpleasant meal  I asked for double meat it was a tiny bowl n I was hungr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Let me start off with the fact that I am a Chipotle fan - you won't hear me bad talk Chipotle food,you will always get one of the best and freshest burritos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I don't care if a burrito has enough,Chipotle is swank decor and ambiance without the swank price,This place is delicious,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Good food served fast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 everything is so delicious ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
my soft tacos were a squishy,At least the salsa ,and guacamole were tasty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
good food,Good price,ingredients,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The food is edible,"but almost everyone who makes the food might as well have ""my parents made me get this job ",Need to remember to just order to-go food from the Mexican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I get a salad bowl (no rice,  I pay the extra $2+ for guacamole ,no cheese,no sour cream) ,and they're pretty cheap with everything but the lettuce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The food is usually way over seasoned or cold,I love chipotle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chipotle is great for accommodating food allergies, My favorite thing to get is the carnitas bowl,they will change gloves and bring fresh ingredients out to avoid cross contamination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 I will say the quality of food is great,and I love that they use pasture raised meats and non gmo foods,food is great,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
often without all ingredients,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 The food is good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The burritos are ok, My biggest pet peeve though is charging for chips and salsa,75 for chips and salsa is a serious,you can get as much salsa as you want, The salads are ridiculously small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I like the food at Chipotle ,  So if you order the food with the app be careful,I was then told they had a large order to fulfill and it take over 20 minutes to make 1 chicken burrito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I realize this location is somewhat new and working in retail/food service myself,reached in and grabbed my burrito which was hardly wrapped at all (there's rice ,If I wanted a burrito bowl I would've been less of a fatty ,If I hadn't been standing there while they made it I would've sworn they had taken a pre-made shittily wrapped burrito out of the fridge ,glacier-cold burrito I've ever had,If you're reading this and have a smart brain and a hungry stomach: avoid waiting in line for an icy cold burrito ,and beans in the bottom of the bag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
one of the workers the bigger Hispanic woman closer to register at that time gave  me wrong salsa ,The salsas were considerably less tasty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
they over stuffed my burrito ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I loved my bowls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Still the best chain burrito around in my book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pros: the food tasted fresh,not enough food for the price,My burrito bowl was quite tasty,95) for chips and salsa ,*no_free_chips_and_salsa*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The food was excellent,the food was too good,got the carnitas burrito, but for some reason when I was talking to the person preparing my burrito,she couldn't do 2 things at once and she ended up messing up my burrito in the middle of preparing it ,My friend got a bowl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
And the proportion of meat when ordering a bowl or burritos are not consistent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This chipotle store was terrible,the chips were stale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I always order a veggie burrito all the way,It's a burrito place,even though of all the burrito chains,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
""" so I watched as he prepared 3 food items for someone else right in front of me",The food is good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This location is the closest to where I live & unfortunately the food service sucks because they never have veggies available,Once they did not have veggies AND lettuce available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Id say this would be a great place to get a burrito if you're drunk,They asked if i wanted chips multiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 I ordered the burrito bowl with chicken, They give you LOTS of rice,sufficient amount of beans a little meat and a little cheese for a BIG price,very little chicken, And the chicken was very fatty, With as little meat that's given,you would think it would at least be all meat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Great food-super, The place is clean-service great and the food outst,price if you're on a budget,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
They don't skimp on your food like other,They always have the food ready,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I couldn't care less - I am here jst for the food anyway,As for the food itself, There've been a few weeks when I have chipotle 3-4 times a week and I'm never tired of the food,I often go for either the chicken or sofritas (which is a tofu based dish),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I may never come back to this chipotle again,I asked for brown rice,I came back and asked for extra salsa,After taking quite awhile to put the salsa in a cup,the associate straightened the rest of the cups and lids before walking away without handing me the salsa,I had to ask the cashier to hand me the salsa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rice was dry,"While he was ringing me in he was talking to another employee about cleaning the floor he just goes ""chips ",lettuce was soggy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"drove all the way there to find out they are ""out of cheese"" wtf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The food is always good,This location is always running out of food,Last week while preparing my salad bowl 2 of the food prep people ,The remaining food prep person said,We came on a Sunday evening with not much of a line but apparently they ran out of chicken or barbacoa ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Same old chipotle as the rest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Regardless the food tasted as consistent,Nothing to complain about when it comes to the taste of the food,It's more about the service and availability of the food items,They didn't have soft tacos,Or corn tacos,We also had to wait for fresh rice because they were scraping the bottom of the silver bowl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
They were using a wet cleaning rag on the counter while food was moving down the line,I noticed that the corner of the nasty rag was getting into peoples food now ,Burrito bowl portions are dis-similar,Came with my gal - both ordered chicken bowls ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
